2026-06-12 19:52:27,990 | INFO | 10 adet filtrelenmiþ haber kaydedildi
2026-06-12 19:52:27,990 | INFO | Arþiv JSON oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\data\raw\2026-06-12-news.json
2026-06-12 19:52:27,990 | INFO | Arþiv TXT oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\outputs\scripts\2026-06-12-script.txt
2026-06-12 19:52:27,990 | INFO | Yayýn metni oluþturuldu
2026-06-12 19:54:55,112 | INFO | Uygulama baþlatýldý
2026-06-12 19:54:55,112 | INFO | RSS çekiliyor: BBC Türkçe
2026-06-12 19:54:55,385 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-12 19:54:55,388 | INFO | 10 adet ham haber çekildi
2026-06-12 19:54:55,388 | INFO | 10 adet filtrelenmiþ haber kaydedildi
2026-06-12 19:54:55,388 | INFO | Arþiv JSON oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\data\raw\2026-06-12-news.json
2026-06-12 19:54:55,388 | INFO | Arþiv TXT oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\outputs\scripts\2026-06-12-script.txt
2026-06-12 19:54:55,388 | INFO | Yayýn metni oluþturuldu
2026-06-12 19:56:56,280 | INFO | Uygulama baþlatýldý
2026-06-12 19:56:56,281 | INFO | RSS çekiliyor: BBC Türkçe
2026-06-12 19:56:56,540 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-12 19:56:56,540 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-12 19:56:56,540 | INFO | RSS çekiliyor: TRT Haber
2026-06-12 19:56:56,887 | INFO | RSS tamamlandý: TRT Haber
2026-06-12 19:56:56,887 | INFO | RSS tamamlandý: TRT Haber
2026-06-12 19:56:56,887 | INFO | RSS çekiliyor: Anadolu Ajansý
2026-06-12 19:56:57,092 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-12 19:56:57,093 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-12 19:56:57,096 | INFO | 10 adet ham haber çekildi
2026-06-12 19:56:57,096 | INFO | 10 adet filtrelenmiþ haber kaydedildi
2026-06-12 19:56:57,096 | INFO | Arþiv JSON oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\data\raw\2026-06-12-news.json
2026-06-12 19:56:57,096 | INFO | Arþiv TXT oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\outputs\scripts\2026-06-12-script.txt
2026-06-12 19:56:57,096 | INFO | Yayýn metni oluþturuldu
2026-06-12 19:58:09,453 | INFO | Uygulama baþlatýldý
2026-06-12 19:58:09,453 | INFO | RSS çekiliyor: BBC Türkçe
2026-06-12 19:58:09,693 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-12 19:58:09,693 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-12 19:58:09,693 | INFO | RSS çekiliyor: TRT Haber
2026-06-12 19:58:09,990 | INFO | RSS tamamlandý: TRT Haber
2026-06-12 19:58:09,990 | INFO | RSS tamamlandý: TRT Haber
2026-06-12 19:58:09,990 | INFO | RSS çekiliyor: Anadolu Ajansý
2026-06-12 19:58:10,181 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-12 19:58:10,181 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-12 19:58:10,184 | INFO | 10 adet ham haber çekildi
2026-06-12 19:58:10,184 | INFO | 10 adet filtrelenmiþ haber kaydedildi
2026-06-12 19:58:10,184 | INFO | Arþiv JSON oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\data\raw\2026-06-12-news.json
2026-06-12 19:58:10,184 | INFO | Arþiv TXT oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\outputs\scripts\2026-06-12-script.txt
2026-06-12 19:58:10,184 | INFO | Yayýn metni oluþturuldu
2026-06-12 19:58:43,421 | INFO | Uygulama baþlatýldý
2026-06-12 19:58:43,421 | INFO | RSS çekiliyor: BBC Türkçe
2026-06-12 19:58:43,686 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-12 19:58:43,686 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-12 19:58:43,686 | INFO | RSS çekiliyor: TRT Haber
2026-06-12 19:58:44,161 | INFO | RSS tamamlandý: TRT Haber
2026-06-12 19:58:44,161 | INFO | RSS tamamlandý: TRT Haber
2026-06-12 19:58:44,161 | INFO | RSS çekiliyor: Anadolu Ajansý
2026-06-12 19:58:44,390 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-12 19:58:44,391 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-12 19:58:44,397 | INFO | 20 adet ham haber çekildi
2026-06-12 19:58:44,397 | INFO | 20 adet filtrelenmiþ haber kaydedildi
2026-06-12 19:58:44,397 | INFO | Arþiv JSON oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\data\raw\2026-06-12-news.json
2026-06-12 19:58:44,397 | INFO | Arþiv TXT oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\outputs\scripts\2026-06-12-script.txt
2026-06-12 19:58:44,397 | INFO | Yayýn metni oluþturuldu
2026-06-13 09:28:42,212 | INFO | Uygulama baþlatýldý
2026-06-13 09:28:42,214 | INFO | RSS çekiliyor: BBC Türkçe
2026-06-13 09:28:42,640 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-13 09:28:42,645 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-13 09:28:42,645 | INFO | RSS çekiliyor: TRT Haber
2026-06-13 09:28:43,180 | INFO | RSS tamamlandý: TRT Haber
2026-06-13 09:28:43,181 | INFO | RSS tamamlandý: TRT Haber
2026-06-13 09:28:43,181 | INFO | RSS çekiliyor: Anadolu Ajansý
2026-06-13 09:28:43,591 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-13 09:28:43,614 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-13 09:28:43,621 | INFO | 20 adet ham haber çekildi
2026-06-13 09:28:43,621 | INFO | 20 adet filtrelenmiþ haber kaydedildi
2026-06-13 09:28:43,621 | INFO | Arþiv JSON oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\data\raw\2026-06-13-news.json
2026-06-13 09:28:43,621 | INFO | Arþiv TXT oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\outputs\scripts\2026-06-13-script.txt
2026-06-13 09:28:43,621 | INFO | Yayýn metni oluþturuldu
2026-06-16 15:03:16,134 | INFO | Uygulama baþlatýldý
2026-06-16 15:03:16,135 | INFO | RSS çekiliyor: BBC Türkçe
2026-06-16 15:03:16,592 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-16 15:03:16,592 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-16 15:03:16,593 | INFO | RSS çekiliyor: TRT Haber
2026-06-16 15:03:17,067 | INFO | RSS tamamlandý: TRT Haber
2026-06-16 15:03:17,067 | INFO | RSS tamamlandý: TRT Haber
2026-06-16 15:03:17,068 | INFO | RSS çekiliyor: Anadolu Ajansý
2026-06-16 15:03:17,478 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-16 15:03:17,480 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-16 15:03:17,484 | INFO | 20 adet ham haber çekildi
2026-06-16 15:03:17,484 | INFO | 20 adet filtrelenmiþ haber kaydedildi
2026-06-16 15:03:17,484 | INFO | Arþiv JSON oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\data\raw\2026-06-16-news.json
2026-06-16 15:03:17,484 | INFO | Arþiv TXT oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\outputs\scripts\2026-06-16-script.txt
2026-06-16 15:03:17,484 | INFO | Yayýn metni oluþturuldu
2026-06-16 15:05:57,375 | INFO | Uygulama baþlatýldý
2026-06-16 15:05:57,376 | INFO | RSS çekiliyor: BBC Türkçe
2026-06-16 15:05:57,580 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-16 15:05:57,580 | INFO | RSS tamamlandý: BBC Türkçe
2026-06-16 15:05:57,580 | INFO | RSS çekiliyor: TRT Haber
2026-06-16 15:05:57,880 | INFO | RSS tamamlandý: TRT Haber
2026-06-16 15:05:57,880 | INFO | RSS tamamlandý: TRT Haber
2026-06-16 15:05:57,880 | INFO | RSS çekiliyor: Anadolu Ajansý
2026-06-16 15:05:58,095 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-16 15:05:58,096 | INFO | RSS tamamlandý: Anadolu Ajansý
2026-06-16 15:05:58,098 | INFO | 20 adet ham haber çekildi
2026-06-16 15:05:58,098 | INFO | 20 adet filtrelenmiþ haber kaydedildi
2026-06-16 15:05:58,098 | INFO | Arþiv JSON oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\data\raw\2026-06-16-news.json
2026-06-16 15:05:58,098 | INFO | Arþiv TXT oluþturuldu: C:\Users\korhan.ors\Desktop\Flashdisk Korhan\GitHub\arsiv\Projeler\AI Haber Yayýn Sistemi\ai-news-system\outputs\scripts\2026-06-16-script.txt
2026-06-16 15:05:58,098 | INFO | Yayýn metni oluþturuldu
2026-06-16 15:10:10,097 | INFO | Uygulama baþlatýldý
